FRX Sample,Site,Site 2,Total,Mn,Fe,Zn,Ga,Th,Rb,Sr,Y,Zr,Nb,Cluster
PARM1B,Sub-source 1,Sub-source 1,1,341,10745,63,22,16,168,1,53,262,47,1
PARM1C,Sub-source 1,Sub-source 1,1,510,11128,70,20,15,162,3,52,279,48,1
PARM8A,Sub-source 1,Sub-source 1,1,496,11752,51,19,20,170,3,60,271,49,1
PARM8B,Sub-source 1,Sub-source 1,1,538,11118,69,22,19,162,2,63,303,50,1
PARM8C,Sub-source 1,Sub-source 1,1,694,12255,77,27,23,164,3,61,296,44,1
PARM8D,Sub-source 1,Sub-source 1,1,557,10498,70,21,22,157,3,63,274,49,1
PARM8E,Sub-source 1,Sub-source 1,1,574,10498,77,24,20,160,3,62,269,48,1
PARM8F,Sub-source 1,Sub-source 1,1,634,10958,62,17,24,163,3,61,275,45,1
PARM8G,Sub-source 1,Sub-source 1,1,503,10023,67,25,20,149,2,55,254,43,1
PARM8H,Sub-source 1,Sub-source 1,1,514,9998,68,23,16,155,4,59,250,46,1
PARM8I,Sub-source 1,Sub-source 1,1,484,10184,62,22,18,154,2,61,284,45,1
PARM8J,Sub-source 1,Sub-source 1,1,612,10221,61,23,18,156,3,61,258,45,1
PARM8K,Sub-source 1,Sub-source 1,1,548,10566,68,28,23,160,2,63,275,52,1
PARM8L,Sub-source 1,Sub-source 1,1,553,11692,58,22,22,160,3,59,275,47,1
PARM8M,Sub-source 1,Sub-source 1,1,560,10431,60,25,20,155,4,57,257,47,1
PARM8N,Sub-source 1,Sub-source 1,1,547,10744,73,25,22,160,6,61,285,48,1
PAR100A,Sub-source 1,Sub-source 1,1,432,10349,66,16,17,157,1,56,277,45,1
PAR100B,Sub-source 1,Sub-source 1,1,429,10627,77,25,21,166,1,60,285,47,1
PAR100D,Sub-source 1,Sub-source 1,1,368,10524,73,27,17,164,1,57,280,48,1
PAR100E,Sub-source 1,Sub-source 1,1,374,11806,69,18,23,164,2,63,302,46,1
PAR100F,Sub-source 1,Sub-source 1,1,411,10546,62,23,17,166,1,56,285,50,1
PAR100G,Sub-source 1,Sub-source 1,1,417,11220,71,22,18,176,1,60,286,51,1
PAR100H,Sub-source 1,Sub-source 1,1,440,13207,87,29,16,188,1,58,296,50,1
PAR100I,Sub-source 1,Sub-source 1,1,601,20821,82,23,15,158,4,58,282,48,1
PAR100K,Sub-source 1,Sub-source 1,1,354,10708,65,25,17,167,2,56,298,49,1
PAR100L,Sub-source 1,Sub-source 1,1,293,10689,64,16,15,158,3,55,275,46,1
PAR100N,Sub-source 1,Sub-source 1,1,396,10624,80,23,16,164,2,57,283,48,1
PAR100O,Sub-source 1,Sub-source 1,1,403,10727,69,22,18,161,1,60,305,47,1
PAR101A,Sub-source 1,Sub-source 1,1,332,11981,70,26,20,177,1,62,293,53,1
PAR101C,Sub-source 1,Sub-source 1,1,384,8812,75,36,21,176,5,56,184,47,1
PAR101N,Sub-source 1,Sub-source 1,1,418,9203,66,34,17,183,3,55,195,43,1
PAR103A,Sub-source 1,Sub-source 1,1,334,10778,65,21,20,168,3,58,291,49,1
PAR103B,Sub-source 1,Sub-source 1,1,386,10694,61,20,15,164,1,60,286,48,1
PAR103C,Sub-source 1,Sub-source 1,1,340,10875,70,18,16,167,1,60,297,47,1
PAR103D,Sub-source 1,Sub-source 1,1,395,11152,82,25,18,175,1,60,271,51,1
PAR103E,Sub-source 1,Sub-source 1,1,249,10275,67,23,19,161,1,59,266,47,1
PAR103F,Sub-source 1,Sub-source 1,1,368,10731,63,22,17,171,2,60,294,49,1
PAR103G,Sub-source 1,Sub-source 1,1,355,10888,68,19,18,168,1,59,322,50,1
PAR103H,Sub-source 1,Sub-source 1,1,387,10626,75,22,16,172,1,58,315,46,1
PAR103J,Sub-source 1,Sub-source 1,1,445,10624,67,22,17,166,1,57,273,44,1
PAR103K,Sub-source 1,Sub-source 1,1,384,11063,60,19,14,167,2,59,291,44,1
PAR103M,Sub-source 1,Sub-source 1,1,265,12556,107,33,12,196,2,63,309,55,1
PAR103N,Sub-source 1,Sub-source 1,1,345,10818,74,24,14,168,1,61,315,50,1
PAR103O,Sub-source 1,Sub-source 1,1,463,11133,70,12,18,165,2,57,351,46,1
PAR104A,Sub-source 1,Sub-source 1,1,370,10992,58,22,19,166,2,58,283,45,1
PAR104B,Sub-source 1,Sub-source 1,1,418,13740,73,23,14,176,4,63,273,46,1
PAR104C,Sub-source 1,Sub-source 1,1,373,10476,81,16,13,161,2,60,281,45,1
PAR104D,Sub-source 1,Sub-source 1,1,389,13274,99,26,18,171,5,69,389,51,1
PAR104E,Sub-source 1,Sub-source 1,1,423,10780,73,21,17,169,2,58,289,50,1
PAR104F,Sub-source 1,Sub-source 1,1,284,13231,81,23,19,173,3,60,286,51,1
PAR104G,Sub-source 1,Sub-source 1,1,389,15066,70,22,17,161,3,60,306,51,1
PAR104I,Sub-source 1,Sub-source 1,1,436,16702,81,25,15,175,3,55,293,44,1
PAR104J,Sub-source 1,Sub-source 1,1,377,11175,57,24,16,175,1,56,288,45,1
PAR104L,Sub-source 1,Sub-source 1,1,431,11574,67,19,18,159,3,59,266,42,1
PAR104N,Sub-source 1,Sub-source 1,1,338,12078,71,18,17,177,1,63,289,50,1
